====== PRINT_BPTREE ======
FrequentPattern		Frequency
{chocolate bread, eggs} 2
{corn, eggs} 2
{eggs, mashed potato} 2
{eggs, pickles} 2
{eggs, shallot} 2
{burgers, eggs, french wine, turkey} 2
{burgers, eggs, fresh bread, fresh tuna} 2
{burgers, eggs, fresh bread, pancakes} 2
{burgers, eggs, fresh bread, spaghetti} 2
{burgers, eggs, fresh bread, whole wheat rice} 2
{burgers, eggs, fresh tuna, frozen vegetables} 2
{burgers, eggs, fresh tuna, gluten free bar} 2
{burgers, eggs, fresh tuna, mineral water} 2
{burgers, eggs, fresh tuna, turkey} 2
{burgers, eggs, fromage blanc, mineral water} 2
{burgers, eggs, fromage blanc, salmon} 2
{burgers, eggs, fromage blanc, strawberries} 2
{burgers, eggs, frozen smoothie, light mayo} 2
{burgers, eggs, frozen smoothie, salmon} 2
{burgers, eggs, frozen smoothie, tomatoes} 2
{burgers, eggs, frozen vegetables, grated cheese} 2
{burgers, eggs, frozen vegetables, green tea} 2
{burgers, eggs, frozen vegetables, ground beef} 2
{burgers, eggs, frozen vegetables, light mayo} 2
{burgers, eggs, frozen vegetables, low fat yogurt} 2
{burgers, eggs, frozen vegetables, turkey} 2
{burgers, eggs, gluten free bar, light mayo} 2
{burgers, eggs, gluten free bar, pancakes} 2
{burgers, eggs, gluten free bar, spaghetti} 2
{burgers, eggs, grated cheese, ground beef} 2
{burgers, eggs, grated cheese, gums} 2
{burgers, eggs, grated cheese, low fat yogurt} 2
{burgers, eggs, grated cheese, milk} 2
{burgers, eggs, grated cheese, pepper} 2
{burgers, eggs, grated cheese, turkey} 2
{burgers, eggs, green tea, ham} 2
{burgers, eggs, green tea, light mayo} 2
{burgers, eggs, green tea, pepper} 2
{burgers, eggs, ground beef, shrimp} 2
{burgers, eggs, gums, low fat yogurt} 2
{burgers, eggs, gums, spaghetti} 2
{burgers, eggs, gums, tomato juice} 2
{burgers, eggs, gums, turkey} 2
{burgers, eggs, ham, pancakes} 2
{burgers, eggs, ham, shrimp} 2
{burgers, eggs, ham, tomatoes} 2
{burgers, eggs, honey, salmon} 2
{burgers, eggs, honey, spaghetti} 2
{burgers, eggs, hot dogs, light mayo} 2
{burgers, eggs, light mayo, turkey} 2
{burgers, eggs, light mayo, yogurt cake} 2
{burgers, eggs, low fat yogurt, pancakes} 2
{burgers, eggs, low fat yogurt, pasta} 2
{burgers, eggs, low fat yogurt, shrimp} 2
{burgers, eggs, low fat yogurt, tomatoes} 2
{burgers, eggs, low fat yogurt, whole wheat rice} 2
{burgers, eggs, meatballs, milk} 2
{burgers, eggs, meatballs, mineral water} 2
{burgers, eggs, milk, pasta} 2
{burgers, eggs, mineral water, red wine} 2
{burgers, eggs, mineral water, soup} 2
{burgers, eggs, mineral water, strawberries} 2
{burgers, eggs, mineral water, yogurt cake} 2
{burgers, eggs, mushroom cream sauce, yogurt cake} 2
{burgers, eggs, pancakes, shrimp} 2
{burgers, eggs, parmesan cheese, spaghetti} 2
{burgers, eggs, pasta, turkey} 2
{burgers, eggs, pasta, whole wheat rice} 2
{burgers, eggs, pepper, spaghetti} 2
{burgers, eggs, pepper, turkey} 2
{burgers, eggs, salmon, vegetables mix} 2
{burgers, eggs, soup, tomato juice} 2
{burgers, eggs, soup, turkey} 2
{burgers, eggs, tomato juice, tomatoes} 2
{burgers, eggs, tomatoes, turkey} 2
{butter, cake, chocolate, eggs} 2
{butter, cake, eggs, whole wheat rice} 2
{butter, chicken, chocolate, eggs} 2
{butter, chicken, eggs, green tea} 2
{butter, chicken, eggs, milk} 2
{butter, chocolate, eggs, milk} 2
{butter, chocolate, eggs, soup} 2
{butter, chocolate, eggs, whole wheat pasta} 2
{butter, eggs, french fries, ground beef} 2
{butter, eggs, french fries, spaghetti} 2
{butter, eggs, french wine, frozen vegetables} 2
{butter, eggs, french wine, pancakes} 2
{butter, eggs, french wine, soup} 2
{butter, eggs, french wine, spaghetti} 2
{butter, eggs, frozen smoothie, low fat yogurt} 2
{butter, eggs, frozen vegetables, pancakes} 2
{butter, eggs, frozen vegetables, soup} 2
{butter, eggs, frozen vegetables, tomatoes} 2
{butter, eggs, green tea, ground beef} 2
{butter, eggs, green tea, pancakes} 2
{butter, eggs, green tea, tomato juice} 2
{butter, eggs, green tea, tomatoes} 2
{butter, eggs, light mayo, parmesan cheese} 2
{butter, eggs, milk, spaghetti} 2
{butter, eggs, milk, whole wheat pasta} 2
{butter, eggs, milk, whole wheat rice} 2
{butter, eggs, pancakes, soup} 2
{butter, eggs, pancakes, vegetables mix} 2
{butter, eggs, pancakes, whole wheat pasta} 2
{butter, eggs, soup, spaghetti} 2
{butter, eggs, spaghetti, whole wheat pasta} 2
{cake, carrots, eggs, milk} 2
{cake, carrots, eggs, mineral water} 2
{cake, chicken, eggs, fresh tuna} 2
{cake, chicken, eggs, frozen smoothie} 2
{cake, chicken, eggs, grated cheese} 2
{cake, chicken, eggs, strawberries} 2
{cake, chocolate, eggs, green tea} 2
{cake, chocolate, eggs, milk} 2
{cake, chocolate, eggs, pancakes} 2
{cake, chocolate, eggs, turkey} 2
{cake, chocolate, eggs, whole wheat rice} 2
{cake, cider, eggs, green tea} 2
{cake, cider, eggs, spaghetti} 2
{cake, cookies, eggs, frozen smoothie} 2
{cake, eggs, energy bar, soup} 2
{cake, eggs, energy bar, spaghetti} 2
{cake, eggs, energy drink, pancakes} 2
{cake, eggs, energy drink, parmesan cheese} 2
{cake, eggs, energy drink, turkey} 2
{cake, eggs, french fries, fresh bread} 2
{cake, eggs, french fries, green grapes} 2
{cake, eggs, french fries, parmesan cheese} 2
{cake, eggs, french fries, shrimp} 2
{cake, eggs, french fries, tomato juice} 2
{cake, eggs, french fries, tomatoes} 2
{cake, eggs, french fries, yogurt cake} 2
{cake, eggs, fresh bread, fresh tuna} 2
{cake, eggs, fresh bread, frozen smoothie} 2
{cake, eggs, fresh bread, frozen vegetables} 2
{cake, eggs, fresh bread, mineral water} 2
{cake, eggs, fresh bread, turkey} 2
{cake, eggs, fresh tuna, frozen smoothie} 2
{cake, eggs, fresh tuna, gluten free bar} 2
{cake, eggs, fresh tuna, hot dogs} 2
{cake, eggs, fromage blanc, mineral water} 2
{cake, eggs, frozen smoothie, light mayo} 2
{cake, eggs, frozen smoothie, milk} 2
{cake, eggs, frozen smoothie, shrimp} 2
{cake, eggs, frozen smoothie, tomatoes} 2
{cake, eggs, frozen smoothie, turkey} 2
{cake, eggs, frozen vegetables, ground beef} 2
{cake, eggs, frozen vegetables, milk} 2
{cake, eggs, frozen vegetables, pancakes} 2
{cake, eggs, frozen vegetables, shrimp} 2
{cake, eggs, frozen vegetables, turkey} 2
{cake, eggs, grated cheese, pancakes} 2
{cake, eggs, grated cheese, spaghetti} 2
{cake, eggs, green grapes, pancakes} 2
{cake, eggs, green tea, ground beef} 2
{cake, eggs, green tea, parmesan cheese} 2
{cake, eggs, green tea, whole wheat pasta} 2
{cake, eggs, green tea, whole wheat rice} 2
{cake, eggs, ground beef, whole wheat rice} 2
{cake, eggs, honey, tomatoes} 2
{cake, eggs, hot dogs, mineral water} 2
{cake, eggs, hot dogs, tomatoes} 2
{cake, eggs, light mayo, pancakes} 2
{cake, eggs, light mayo, tomatoes} 2
{cake, eggs, light mayo, turkey} 2
{cake, eggs, meatballs, milk} 2
{cake, eggs, meatballs, mineral water} 2
{cake, eggs, milk, shrimp} 2
{cake, eggs, mineral water, pepper} 2
{cake, eggs, mineral water, shrimp} 2
{cake, eggs, pancakes, parmesan cheese} 2
{cake, eggs, pancakes, shrimp} 2
{cake, eggs, pancakes, tomatoes} 2
{cake, eggs, salmon, spaghetti} 2
{cake, eggs, shrimp, spaghetti} 2
{cake, eggs, spaghetti, tomatoes} 2
{cake, eggs, tomato juice, tomatoes} 2
{cake, eggs, turkey, yogurt cake} 2
{carrots, chocolate, eggs, green tea} 2
{carrots, eggs, low fat yogurt, milk} 2
{carrots, eggs, milk, whole wheat rice} 2
{cauliflower, eggs, milk, vegetables mix} 2
{cereals, chicken, eggs, ground beef} 2
{cereals, chocolate, eggs, frozen vegetables} 2
{cereals, chocolate, eggs, mineral water} 2
{cereals, eggs, french fries, frozen vegetables} 2
{cereals, eggs, french fries, ham} 2
{cereals, eggs, french fries, mineral water} 2
{cereals, eggs, french wine, mineral water} 2
{cereals, eggs, frozen vegetables, ground beef} 2
{cereals, eggs, frozen vegetables, ham} 2
{cereals, eggs, frozen vegetables, milk} 2
{cereals, eggs, frozen vegetables, tomatoes} 2
{cereals, eggs, green tea, ground beef} 2
{cereals, eggs, green tea, mineral water} 2
{cereals, eggs, ground beef, shrimp} 2
{cereals, eggs, ground beef, tomatoes} 2
{cereals, eggs, light cream, mineral water} 2
{cereals, eggs, milk, mineral water} 2
{cereals, eggs, mineral water, shrimp} 2
{cereals, eggs, mineral water, tomatoes} 2
{champagne, chocolate, eggs, green tea} 2
{champagne, chocolate, eggs, mineral water} 2
{champagne, dessert wine, eggs, mineral water} 2
{champagne, dessert wine, eggs, pancakes} 2
{champagne, eggs, french fries, frozen smoothie} 2
{champagne, eggs, french fries, frozen vegetables} 2
{champagne, eggs, french fries, green tea} 2
{champagne, eggs, french fries, salmon} 2
{champagne, eggs, french fries, whole wheat rice} 2
{champagne, eggs, fresh tuna, mineral water} 2
{champagne, eggs, fromage blanc, frozen vegetables} 2
{champagne, eggs, frozen smoothie, frozen vegetables} 2
{champagne, eggs, frozen smoothie, tomatoes} 2
{champagne, eggs, frozen vegetables, milk} 2
{champagne, eggs, frozen vegetables, shrimp} 2
{champagne, eggs, frozen vegetables, tomatoes} 2
{champagne, eggs, green tea, turkey} 2
{champagne, eggs, ground beef, low fat yogurt} 2
{champagne, eggs, ground beef, salmon} 2
{champagne, eggs, ground beef, tomatoes} 2
{champagne, eggs, ham, spaghetti} 2
{champagne, eggs, low fat yogurt, tomatoes} 2
{champagne, eggs, milk, pancakes} 2
{champagne, eggs, pancakes, spaghetti} 2
{champagne, eggs, salmon, tomatoes} 2
{champagne, eggs, spaghetti, turkey} 2
{chicken, chocolate, eggs, ground beef} 2
{chicken, chocolate, eggs, ham} 2
{chicken, chocolate, eggs, light cream} 2
{chicken, chocolate, eggs, turkey} 2
{chicken, chocolate, eggs, white wine} 2
{chicken, chocolate, eggs, whole wheat pasta} 2
{chicken, eggs, energy bar, light mayo} 2
{chicken, eggs, extra dark chocolate, mineral water} 2
{chicken, eggs, extra dark chocolate, tomatoes} 2
{chicken, eggs, french fries, fresh tuna} 2
{chicken, eggs, french fries, muffins} 2
{chicken, eggs, french fries, pancakes} 2
{chicken, eggs, french fries, protein bar} 2
{chicken, eggs, french fries, soup} 2
{chicken, eggs, french fries, strawberries} 2
{chicken, eggs, french fries, whole wheat pasta} 2
{chicken, eggs, fresh bread, fresh tuna} 2
{chicken, eggs, fresh bread, frozen vegetables} 2
{chicken, eggs, fresh bread, ground beef} 2
{chicken, eggs, fresh bread, mint} 2
{chicken, eggs, fresh bread, spaghetti} 2
{chicken, eggs, fresh bread, white wine} 2
{chicken, eggs, fresh tuna, milk} 2
{chicken, eggs, fresh tuna, mineral water} 2
{chicken, eggs, fresh tuna, turkey} 2
{chicken, eggs, fromage blanc, mineral water} 2
{chicken, eggs, frozen smoothie, low fat yogurt} 2
{chicken, eggs, frozen smoothie, pancakes} 2
{chicken, eggs, frozen smoothie, shrimp} 2
{chicken, eggs, frozen smoothie, turkey} 2
{chicken, eggs, frozen vegetables, ground beef} 2
{chicken, eggs, frozen vegetables, parmesan cheese} 2
{chicken, eggs, frozen vegetables, salmon} 2
{chicken, eggs, frozen vegetables, turkey} 2
{chicken, eggs, frozen vegetables, white wine} 2
{chicken, eggs, grated cheese, ground beef} 2
{chicken, eggs, grated cheese, nonfat milk} 2
{chicken, eggs, green tea, ground beef} 2
{chicken, eggs, green tea, milk} 2
{chicken, eggs, green tea, turkey} 2
{chicken, eggs, ground beef, turkey} 2
{chicken, eggs, ground beef, whole wheat pasta} 2
{chicken, eggs, ham, milk} 2
{chicken, eggs, ham, mineral water} 2
{chicken, eggs, ham, spaghetti} 2
{chicken, eggs, meatballs, milk} 2
{chicken, eggs, meatballs, mineral water} 2
{chicken, eggs, meatballs, spaghetti} 2
{chicken, eggs, meatballs, whole wheat rice} 2
{chicken, eggs, milk, salmon} 2
{chicken, eggs, milk, whole wheat pasta} 2
{chicken, eggs, mineral water, mint} 2
{chicken, eggs, mineral water, nonfat milk} 2
{chicken, eggs, mineral water, shrimp} 2
{chicken, eggs, mineral water, white wine} 2
{chicken, eggs, mineral water, whole wheat pasta} 2
{chicken, eggs, mineral water, whole wheat rice} 2
{chicken, eggs, nonfat milk, spaghetti} 2
{chicken, eggs, pancakes, tomatoes} 2
{chicken, eggs, tomatoes, turkey} 2
{chicken, eggs, tomatoes, whole wheat rice} 2
{chocolate, cider, eggs, french fries} 2
{chocolate, cider, eggs, low fat yogurt} 2
{chocolate, cider, eggs, milk} 2
{chocolate, cider, eggs, pancakes} 2
{chocolate, cookies, eggs, french fries} 2
{chocolate, cookies, eggs, frozen smoothie} 2
{chocolate, cookies, eggs, grated cheese} 2
{chocolate, cookies, eggs, mineral water} 2
{chocolate, cottage cheese, eggs, french fries} 2
{chocolate, cottage cheese, eggs, vegetables mix} 2
{chocolate, eggs, energy bar, milk} 2
{chocolate, eggs, energy drink, french fries} 2
{chocolate, eggs, escalope, ground beef} 2
{chocolate, eggs, escalope, milk} 2
{chocolate, eggs, escalope, mineral water} 2
{chocolate, eggs, escalope, mushroom cream sauce} 2
{chocolate, eggs, escalope, pepper} 2
{chocolate, eggs, escalope, spaghetti} 2
{chocolate, eggs, escalope, whole wheat rice} 2
{chocolate, eggs, flax seed, french fries} 2
{chocolate, eggs, flax seed, green tea} 2
{chocolate, eggs, french fries, fresh bread} 2
{chocolate, eggs, french fries, light mayo} 2
{chocolate, eggs, french fries, mint} 2
{chocolate, eggs, french fries, shrimp} 2
{chocolate, eggs, french fries, vegetables mix} 2
{chocolate, eggs, french fries, whole wheat pasta} 2
{chocolate, eggs, french fries, whole wheat rice} 2
{chocolate, eggs, french wine, milk} 2
{chocolate, eggs, french wine, pancakes} 2
{chocolate, eggs, fresh bread, salmon} 2
{chocolate, eggs, fresh bread, turkey} 2
{chocolate, eggs, frozen smoothie, ground beef} 2
{chocolate, eggs, frozen smoothie, ham} 2
{chocolate, eggs, frozen smoothie, low fat yogurt} 2
{chocolate, eggs, frozen smoothie, protein bar} 2
{chocolate, eggs, frozen smoothie, shrimp} 2
{chocolate, eggs, frozen smoothie, tomato juice} 2
{chocolate, eggs, frozen smoothie, turkey} 2
{chocolate, eggs, frozen vegetables, green grapes} 2
{chocolate, eggs, frozen vegetables, meatballs} 2
{chocolate, eggs, frozen vegetables, parmesan cheese} 2
{chocolate, eggs, frozen vegetables, pasta} 2
{chocolate, eggs, frozen vegetables, vegetables mix} 2
{chocolate, eggs, frozen vegetables, whole wheat rice} 2
{chocolate, eggs, gluten free bar, muffins} 2
{chocolate, eggs, grated cheese, ham} 2
{chocolate, eggs, grated cheese, nonfat milk} 2
{chocolate, eggs, grated cheese, pancakes} 2
{chocolate, eggs, grated cheese, parmesan cheese} 2
{chocolate, eggs, grated cheese, pepper} 2
{chocolate, eggs, grated cheese, tomato juice} 2
{chocolate, eggs, grated cheese, turkey} 2
{chocolate, eggs, green tea, ham} 2
{chocolate, eggs, green tea, mushroom cream sauce} 2
{chocolate, eggs, green tea, protein bar} 2
{chocolate, eggs, green tea, red wine} 2
{chocolate, eggs, green tea, tomatoes} 2
{chocolate, eggs, green tea, white wine} 2
{chocolate, eggs, ground beef, hot dogs} 2
{chocolate, eggs, ground beef, low fat yogurt} 2
{chocolate, eggs, ground beef, mushroom cream sauce} 2
{chocolate, eggs, ground beef, pepper} 2
{chocolate, eggs, ground beef, rice} 2
{chocolate, eggs, ground beef, salmon} 2
{chocolate, eggs, ground beef, soup} 2
{chocolate, eggs, ground beef, tomatoes} 2
{chocolate, eggs, ham, low fat yogurt} 2
{chocolate, eggs, ham, pancakes} 2
{chocolate, eggs, ham, tomatoes} 2
{chocolate, eggs, ham, turkey} 2
{chocolate, eggs, honey, mineral water} 2
{chocolate, eggs, hot dogs, spaghetti} 2
{chocolate, eggs, hot dogs, turkey} 2
{chocolate, eggs, light cream, mineral water} 2
{chocolate, eggs, light mayo, mineral water} 2
{chocolate, eggs, light mayo, pancakes} 2
{chocolate, eggs, low fat yogurt, pancakes} 2
{chocolate, eggs, low fat yogurt, turkey} 2
{chocolate, eggs, milk, pasta} 2
{chocolate, eggs, milk, protein bar} 2
{chocolate, eggs, milk, red wine} 2
{chocolate, eggs, milk, soup} 2
{chocolate, eggs, milk, white wine} 2
{chocolate, eggs, milk, whole wheat pasta} 2
{chocolate, eggs, milk, whole wheat rice} 2
{chocolate, eggs, mineral water, muffins} 2
{chocolate, eggs, mineral water, nonfat milk} 2
{chocolate, eggs, mineral water, parmesan cheese} 2
{chocolate, eggs, mineral water, tomato juice} 2
{chocolate, eggs, mineral water, tomatoes} 2
{chocolate, eggs, mineral water, toothpaste} 2
{chocolate, eggs, muffins, pancakes} 2
{chocolate, eggs, muffins, turkey} 2
{chocolate, eggs, mushroom cream sauce, spaghetti} 2
{chocolate, eggs, nonfat milk, spaghetti} 2
{chocolate, eggs, pancakes, pepper} 2
{chocolate, eggs, pancakes, tomato sauce} 2
{chocolate, eggs, pancakes, whole wheat pasta} 2
{chocolate, eggs, parmesan cheese, spaghetti} 2
{chocolate, eggs, pepper, spaghetti} 2
{chocolate, eggs, pet food, spaghetti} 2
{chocolate, eggs, salmon, shrimp} 2
{chocolate, eggs, salmon, whole wheat rice} 2
{chocolate, eggs, shrimp, turkey} 2
{chocolate, eggs, shrimp, whole wheat rice} 2
{chocolate, eggs, spaghetti, tomato juice} 2
{chocolate, eggs, spaghetti, tomato sauce} 2
{chocolate, eggs, tomatoes, turkey} 2
{chutney, eggs, grated cheese, mineral water} 2
{chutney, eggs, mineral water, whole wheat rice} 2
{cider, cookies, eggs, french fries} 2
{cider, cottage cheese, eggs, french fries} 2
{cider, eggs, french fries, green tea} 2
{cider, eggs, french fries, shrimp} 2
{cider, eggs, french fries, whole wheat rice} 2
{cider, eggs, fresh tuna, low fat yogurt} 2
{cider, eggs, fresh tuna, mineral water} 2
{cider, eggs, green tea, milk} 2
{cider, eggs, green tea, mineral water} 2
{cider, eggs, green tea, spaghetti} 2
{cider, eggs, low fat yogurt, mineral water} 2
{cider, eggs, low fat yogurt, pancakes} 2
{cider, eggs, milk, pancakes} 2
{cider, eggs, milk, shrimp} 2
{cider, eggs, milk, turkey} 2
{cider, eggs, pancakes, spaghetti} 2
{cider, eggs, shrimp, spaghetti} 2
{cider, eggs, spaghetti, turkey} 2
{clothes accessories, eggs, milk, shrimp} 2
{cookies, cottage cheese, eggs, frozen smoothie} 2
{cookies, cottage cheese, eggs, honey} 2
{cookies, cottage cheese, eggs, pancakes} 2
{cookies, eggs, escalope, pancakes} 2
{cookies, eggs, french fries, frozen smoothie} 2
{cookies, eggs, french fries, ham} 2
{cookies, eggs, french fries, mineral water} 2
{cookies, eggs, french fries, mint green tea} 2
{cookies, eggs, french fries, tomatoes} 2
{cookies, eggs, french fries, whole wheat rice} 2
{cookies, eggs, frozen smoothie, green tea} 2
{cookies, eggs, frozen smoothie, pancakes} 2
{cookies, eggs, frozen smoothie, spaghetti} 2
{cookies, eggs, grated cheese, ground beef} 2
{cookies, eggs, grated cheese, mineral water} 2
{cookies, eggs, grated cheese, spaghetti} 2
{cookies, eggs, green tea, ground beef} 2
{cookies, eggs, green tea, ham} 2
{cookies, eggs, ground beef, muffins} 2
{cookies, eggs, ground beef, mushroom cream sauce} 2
{cookies, eggs, ground beef, pancakes} 2
{cookies, eggs, ground beef, red wine} 2
{cookies, eggs, honey, pancakes} 2
{cookies, eggs, low fat yogurt, spaghetti} 2
{cookies, eggs, low fat yogurt, whole wheat rice} 2
{cookies, eggs, milk, mineral water} 2
{cookies, eggs, mineral water, pepper} 2
{cookies, eggs, mushroom cream sauce, spaghetti} 2
{cookies, eggs, pancakes, spaghetti} 2
{cookies, eggs, red wine, spaghetti} 2
{cookies, eggs, shrimp, spaghetti} 2
{cookies, eggs, spaghetti, tomatoes} 2
{cottage cheese, eggs, energy drink, fresh tuna} 2
{cottage cheese, eggs, extra dark chocolate, frozen vegetables} 2
{cottage cheese, eggs, french fries, frozen smoothie} 2
{cottage cheese, eggs, french fries, gluten free bar} 2
{cottage cheese, eggs, french fries, hot dogs} 2
{cottage cheese, eggs, french fries, muffins} 2
{cottage cheese, eggs, fresh bread, milk} 2
{cottage cheese, eggs, fresh bread, mineral water} 2
{cottage cheese, eggs, fresh tuna, fromage blanc} 2
{cottage cheese, eggs, fresh tuna, honey} 2
{cottage cheese, eggs, fresh tuna, pancakes} 2
{cottage cheese, eggs, fresh tuna, spaghetti} 2
{cottage cheese, eggs, fresh tuna, turkey} 2
{cottage cheese, eggs, fromage blanc, honey} 2
{cottage cheese, eggs, frozen vegetables, milk} 2
{cottage cheese, eggs, gluten free bar, pancakes} 2
{cottage cheese, eggs, ground beef, mineral water} 2
{cottage cheese, eggs, ground beef, pancakes} 2
{cottage cheese, eggs, ground beef, red wine} 2
{cottage cheese, eggs, honey, magazines} 2
{cottage cheese, eggs, honey, pancakes} 2
{cottage cheese, eggs, honey, red wine} 2
